Period,op,xoi,EPI,rv,ret
Aug-05,9.511595252,7.600014829,0.306937523,1.280918806,2.2
Sep-05,0.338856129,5.638653213,0.319044018,1.462631567,10.6
Oct-05,-3.8113905,-8.802297843,0.516388741,1.626118254,-8.6
Nov-05,-3.645210021,-0.894798007,0.330072212,1.384271571,11.4
Dec-05,2.338504264,1.017490308,0.423465424,1.433136242,6.9
Jan-06,7.493326064,14.70013253,0.399901505,1.327388069,5.6
Feb-06,-4.741235703,-10.25940655,0.313734283,1.200083687,4.5
Mar-06,2.32791555,3.702279734,0.322681809,1.292368149,8.8
Apr-06,11.94499333,5.197213848,0.373250694,1.686082384,6.8
May-06,2.175878637,-2.646317323,0.395940056,2.150615173,-13.7
Jun-06,0.837311663,4.903257689,0.535439034,2.371618143,2
Jul-06,6.832362823,4.250322028,0.724278793,1.888683007,1.3
Aug-06,-0.798165527,-4.935864344,0.598098488,1.105668462,8.9
Sep-06,-15.42039496,-5.533920493,0.417118225,1.381223903,6.5
Oct-06,-8.422253192,4.594579311,0.372011986,1.249871394,4.1
Nov-06,-1.028090005,6.573236749,0.850499039,0.934325592,5.7
Dec-06,4.379089045,-1.978331014,0.634955063,1.614432014,0.7
Jan-07,-13.79368402,-2.032004703,0.459179153,1.417928503,2.2
Feb-07,6.999866701,-1.807048848,0.712627564,1.661290989,-8.2
Mar-07,4.782414317,6.17979239,0.502120934,1.881322551,1
Apr-07,2.799312082,4.403728918,0.726543274,1.74013097,6.1
May-07,-3.150799958,7.338844086,0.35189415,1.149615186,4.8
Jun-07,4.47398476,3.028553258,0.2773946,1.127832982,0.7
Jul-07,6.757865603,-3.420440208,0.35047966,1.406258341,6.1
Aug-07,-3.887478629,0.238246326,0.478267975,1.920430973,-1.5
Sep-07,7.945322126,5.303623392,0.580687256,1.457793563,12.9
Oct-07,4.472487901,3.784700043,0.725721359,2.100548913,14.7
Nov-07,10.56582656,-4.51716171,0.561760788,1.803027844,-2.4
Dec-07,-1.991216232,8.707078884,0.618094788,1.611922297,4.8
Jan-08,1.154230706,-12.95294794,1.267785797,2.277191742,-13
Feb-08,3.843645298,3.622091689,0.89350441,2.03175487,-0.4
Mar-08,10.18513845,-6.024809065,1.75192276,2.252480339,-11
Apr-08,5.804136398,10.43095974,1.247766571,1.629474793,10.5
May-08,17.07964359,5.556800918,0.94384407,1.52627549,-5
Jun-08,8.632503529,-2.20299869,1.628737183,1.959429113,-18
Jul-08,1.030434784,-14.41243752,1.936118164,2.388322597,6.6
Aug-08,-14.50648859,-0.1965436,0.922674713,1.758393654,1.5
Sep-08,-8.005578118,-13.75039519,1.24111702,2.123289492,-11.7
Oct-08,-24.99970937,-18.94456079,2.351855927,2.727375028,-23.9
Nov-08,-29.03943772,1.196930348,1.466291504,2.405724878,-7.1
Dec-08,-27.54956071,1.175633888,1.361601105,2.121297086,6.1
Jan-09,6.495046053,-4.634795758,1.058154373,2.214656782,-2.3
Feb-09,-4.025046593,-12.44648931,1.357649536,1.810927858,-5.7
Mar-09,15.00607304,3.008125968,1.559705353,2.127902249,9.2
Apr-09,5.115790048,2.932824552,1.315910645,1.948461561,17.5
May-09,11.4840155,11.90905257,1.143160782,2.617756181,28.3
Jun-09,15.73311719,-7.173583221,0.984006119,1.806321767,-0.9
Jul-09,-5.248614676,4.500518772,1.410674896,2.0375902,8.1
Aug-09,9.844190597,1.822654972,1.038795624,1.801372541,0
Sep-09,-4.365570593,4.549227715,0.873887711,1.291405801,9.3
Oct-09,4.388912751,2.73072639,0.859990768,1.391289821,-7.2
Nov-09,4.293611336,1.486792737,0.685594177,1.689288645,6.5
Dec-09,-3.412598284,-0.033694158,0.78486496,1.328848101,3.2
Jan-10,1.447673221,-4.934351424,0.774538498,1.280905482,-6.3
Feb-10,-2.226714914,0.421030425,1.295690002,1.399577902,0.4
Mar-10,4.034287019,5.722038618,0.964868546,1.057981735,6.7
Apr-10,3.773365582,1.381464343,0.941680527,1.135635126,0.2
May-10,-7.894373611,-12.90897033,1.138679428,1.668353294,-3.5
Jun-10,0.448152126,-8.652460892,1.513790588,1.464465356,4.5
Jul-10,0.465615038,10.21367678,1.003703308,0.904828154,0.9
Aug-10,1.01768037,-5.540841477,0.891088791,0.961168605,0.6
Sep-10,-0.814782061,10.91765099,0.993994827,1.248176987,11.7
Oct-10,3.561164213,4.437692112,0.889995422,1.36706613,-0.2
Nov-10,4.733969867,1.315910598,1.07062294,1.526799051,-2.6
Dec-10,6.616303977,10.35158423,1.574347382,1.261670892,5.1
Jan-11,3.485916801,6.404587493,1.245488129,1.480286172,-10.6
Feb-11,5.545874633,5.394590704,1.441516724,1.622720585,-2.8
Mar-11,9.469271303,1.001494594,0.963192062,1.58005785,9.1
Apr-11,5.284437283,1.734898102,0.710399399,1.279322207,-1.6
May-11,-6.038189042,-5.176010228,1.029706497,1.433593853,-3.3
Jun-11,-2.167567828,-2.114994975,1.055109558,1.314830205,1.9
Jul-11,0.907584962,-1.529688009,1.553404541,1.287080815,-3.4
Aug-11,-5.187152934,-9.82916298,2.728744507,1.706432956,-8.4
Sep-11,5.378793873,-12.07615197,1.86787384,1.72340992,-1.3
Oct-11,2.447097822,16.855894,2.22565918,1.68603703,7.6
Nov-11,8.516400408,0.936432526,2.241403351,1.550864047,-8.9
Dec-11,2.391208039,-0.296527141,2.493388824,1.684032452,-4.1
Jan-12,0.206975101,2.490094529,1.831171112,1.480977555,11.2
Feb-12,0.738179192,5.252108045,1.802292328,1.33875017,3.3
Mar-12,6.758117787,-4.671292971,2.39419281,1.533463896,-2
Apr-12,-0.643733359,-2.54831177,1.733681335,1.087222707,-0.5
May-12,-3.795148301,-12.29113531,2.464107819,1.323352136,-6.4
Jun-12,-10.95574483,6.457914411,2.836890869,1.444863866,7.5
Jul-12,5.558539634,2.644196951,1.423651428,1.20600331,-1.1
Aug-12,8.524692199,2.704655727,1.660054016,0.811342861,1.1
Sep-12,-0.779463551,2.294611207,1.523661652,1.272166707,7.6
Oct-12,-5.720813858,-2.358060582,1.632294312,0.987052726,-1.4
Nov-12,1.114975775,-0.999459777,1.41810257,1.040589523,4.5
Dec-12,-0.237594921,2.055874403,1.535653534,0.65960733,0.4
Jan-13,3.175678966,8.556023356,1.331490021,0.838806434,2.4
Feb-13,1.333157742,-2.238100914,1.383507233,1.009452419,-5.2
Mar-13,-3.690938611,2.675497641,1.551834869,1.08038719,-0.1
Apr-13,-3.612127461,0.584150768,1.487508087,1.316258291,3.5
May-13,1.656142272,1.301261039,1.222845764,1.444586278,1.3
Jun-13,6.281446625,-4.037643226,1.29938324,1.467999978,-1.8
Jul-13,7.800300919,4.825393704,1.300257263,1.314345443,-0.3
Aug-13,8.29593069,-1.9668961,1.888295746,1.740907147,-3.8
Sep-13,1.403663556,2.232393175,1.608184204,1.800004222,4.1
Oct-13,-6.573138918,4.512774823,1.073188858,1.259188761,9.2
Nov-13,-1.06668,0.773060121,0.793708878,1.343416864,-1.8
Dec-13,1.631034117,1.878299624,1.031948166,1.121261665,1.8
Jan-14,-3.00160694,-6.583355258,0.951799393,1.156961261,-3.1
Feb-14,2.883570619,4.677934812,0.787098846,0.937356217,3
Mar-14,-2.778362293,2.290531947,0.661266708,1.015834301,6
Apr-14,-0.2094535,6.525524352,0.787388611,0.963959112,0.1
May-14,-0.995133058,1.020424587,0.889439011,1.363716001,8
Jun-14,3.227967702,3.301559227,0.72417305,1.245668997,4.9
Jul-14,-2.445513289,-2.403443368,1.044068756,1.155422696,1.9
Aug-14,-3.580450182,2.842476552,1.334505768,1.034724007,2.9
Sep-14,-4.352073468,-8.470257221,1.153219986,1.12167042,0
Oct-14,-9.994055624,-4.410160652,0.915166855,1.181479235,4.6
Nov-14,-10.58522174,-10.58633733,1.196830673,0.518321403,3
Dec-14,-22.09870767,0.911321074,1.156545715,1.197028587,-4.2
Jan-15,-26.19920765,-3.328966362,1.202388382,1.482235854,6.1
Feb-15,14.83593327,5.397726061,0.984491425,1.07366199,0.6
Mar-15,-3.059210498,-3.375352965,0.534303703,1.292954343,-4.8
Apr-15,9.006609853,7.002694737,0.523080597,1.134274679,-3.4
May-15,9.997622128,-6.300238133,0.630506821,1.461547621,3
Jun-15,-1.844671686,-2.746306787,0.792636871,1.281259593,-0.2
Jul-15,-12.47065998,-7.330518209,0.505923958,1.231084747,1.2
Aug-15,-15.0204519,-5.77189215,0.775655136,1.716383739,-6.5
Sep-15,3.05625818,-7.746938659,0.852551575,1.486097842,-0.5
Oct-15,-0.266697046,12.2345718,0.456004448,1.04096115,1.9
Nov-15,-7.046325269,-0.428135837,0.476463738,1.015432527,-1.9
Dec-15,-15.62414521,-10.45967651,0.773212662,1.090528456,-0.1
Jan-16,-19.5827406,-5.81705941,0.702796249,1.393518701,-4.8
Feb-16,5.409269568,-3.110857938,0.992133865,1.563632787,-7.5
Mar-16,16.69663013,8.88129556,0.922008591,1.4508814,10.2
Apr-16,8.14483905,7.893085128,0.473880081,1.228458314,1
May-16,12.43807504,-3.951144306,0.530130692,1.301924529,4.1
Jun-16,4.427808468,2.664748032,1.44266098,1.139637463,1.2
Jul-16,-7.980980611,-2.60289577,0.780661163,0.903897436,3.9
Aug-16,1.39526621,0.874299553,0.410142174,0.97718242,1.4
Sep-16,-0.076752744,2.34306669,0.328836861,1.081892878,-2.1
Oct-16,9.141141524,-0.699187348,0.386867943,1.004680932,0.2
Nov-16,-7.151967425,6.374532864,0.728056488,1.361962208,-4.6
Dec-16,15.33934502,3.874601061,1.178862381,1.105991131,-0.1
Jan-17,2.148039803,-2.799085592,0.841265564,0.843300191,3.9
Feb-17,0.001753848,-2.901402377,1.374004364,0.759701243,3.9
Mar-17,-8.394528166,-1.299174576,0.656751938,0.899625232,3.1
Apr-17,0.359793628,-2.157993414,0.813338394,0.758059379,1
May-17,-4.645759877,-3.128740145,0.392633667,0.895367613,4.1
Jun-17,-7.673079026,-0.857962963,0.590698853,0.364833102,-0.7
Jul-17,3.226191789,3.578788363,0.620298805,0.792862862,5.2
Aug-17,3.745895194,-4.274675289,0.376894722,0.988241823,-2.4
Sep-17,6.759124564,9.66514191,0.780306473,0.859149947,-1.4
Oct-17,4.510415901,1.588284229,0.833947525,0.797656444,6.2
Nov-17,8.377697513,0.075242525,0.629119797,0.893102994,-0.2
Dec-17,1.186565316,7.702604035,0.81988472,0.83147613,2.7
Jan-18,6.914940726,5.156912171,0.394257393,0.800980929,5.6
Feb-18,-3.023507445,-9.77701126,0.799093781,1.200026301,-5
Mar-18,2.101053361,3.96278272,0.420354309,1.181576902,-3.6
Apr-18,7.869088559,10.39470696,0.349231987,0.878017081,6.6
May-18,9.325493942,3.778557354,0.375567589,0.912645457,0.5
Jun-18,-1.556314012,-0.84208181,0.471657486,0.816917047,0.3
Jul-18,2.286420231,3.099209006,0.632472267,0.750587866,6.2
Aug-18,-0.981175759,-3.757040697,0.77715065,0.843178514,2.8
Sep-18,9.639103568,3.249277507,0.635094605,1.119246597,-6.3
Oct-18,3.642996889,-13.4791103,0.639160538,1.594768246,-4.9
Nov-18,-23.24122214,-4.249753727,0.688031845,1.060681178,5.1
Dec-18,-15.86881807,-11.70638868,0.661316834,1.254653281,-0.3
Jan-19,4.702493864,10.234418,0.647383499,1.062333619,0.5
Feb-19,8.340674777,0.399510389,0.501197739,0.872532172,-1.1
Mar-19,1.85065877,0.980320626,0.405851021,0.983433365,7.8
Apr-19,7.181945377,1.956385142,0.604534226,0.955224204,0.9
May-19,-2.1704387,-12.56970436,0.836425552,1.444487498,1.7
Jun-19,-11.54384672,8.501067845,0.728534393,1.022795654,-0.8
Jul-19,1.891752672,-1.279884238,0.704508362,1.058608016,-4.9
Aug-19,-3.033875998,-7.652605819,0.816747818,1.328372388,-0.4
Sep-19,4.161406046,3.625615204,1.055443268,1.707626784,3.6
Oct-19,-5.011783611,0.75001588,0.906638718,1.149604942,3.8
Nov-19,5.844328691,-1.343289609,0.503646812,0.727626577,1.7
Dec-19,4.482921124,5.578760441,1.060355377,0.810691576,1.1
Jan-20,-2.711777998,-13.04699451,0.481354332,1.097476131,-1.3
Feb-20,-14.22045296,-15.78551514,0.926491547,1.506569957,-6
